Other Categories,Link,Reviewer,Rating,Title,Review
Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fc7ee885e693f060475ab36,Sue Maguire,1 star: Bad,Thanksgiving shopping disaster…,"I used Instacart for my Thanksgiving shopping. They were unable to find many items (eg celery) and substituted many others with more expensive items. My shopper replaced a 12ib turkey with a 22lb turkey without asking me. When I noticed it and told her it was too large and I don’t want anything larger than 15lbs, she indicated she would not include it. She didn’t include it but still charged me $50 for it on the order. In trying to get a refund, one agent responded they were sorry I wasn’t available to receive my order and then asked when I would be available for redelivery. I responded tgst I wanted a refund and the next agent asked if I wanted a refund or credit to my Instacart account. Again I indicated I wanted a refund. The next agent I was directed to told me they understood my frustration but they couldn’t give me a refund because the order was more than 90 days old. After all the back and forth, it’s now a week old but clearly not 90 days old. This isn’t my first issue with Instacart. There hasn’t been a single order where they found the majority of items on my order often unable to find staples like bread despite the fact that there must be many acceptable substitutes. My experience with customer service has been horrendous."
Cancellation;Pricing;Shopper Issues;Customer Service;Theft;,https://ca.trustpilot.com/reviews/5fc5f7865e693f08f00f8107,Diane Bishop,1 star: Bad,I liked them at first,I liked them at first. No issues. My grocery order last night was NOT delivered. My shopper was texting me while shopping. Never received it. Texted her. She never texted back. Called customer service and they refunded my delivery fee and tip and they could not get a hold of her. Oh and the total was $10 more than what Kroger said it should be. She got a $17 tip. They refuse to refund my money for the groceries. I will NEVER use them again!
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fc58f5b5e693f0b10063d4a,Consumer,1 star: Bad,Loved it at first .,Loved it at first .. first 2 orders were fine third Order I ordered king crab legs at $339 for 10 pounds received snow crab legs which were priced at $110 for 10 lbs not only did they charge me the $339 then when I disputed it they locked my account and told me I was band from Instacart they screwed up and band me really !!! I called cust service and they told me they couldn’t do anything because my account was locked lol what a joke I called my cc company and disputed the whole charge F them do not get this app !!!!
Customer Service;Shopper Issues;Theft;Cancellation;,https://ca.trustpilot.com/reviews/5fc56e3f5e693f08f00f3cbe,Santhiya Sudheesh,1 star: Bad,Order never received.,Avoid at all costs.My order was never delivered.Customer service is a joke. No refunds and very bad service.zero stars.
Bad Food Choices;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fc428045e693f08f00e384b,Phil P,1 star: Bad,I wish I could give them a zero star,"I wish I could give them a zero star. They hire kids who don’t know anything about shopping, cooking or baking. Some don’t know the difference between a zucchini and an English cucumber. Every order has had something wrong. I’m not talking about an out of stock item or substitute. I once received a cantaloupe that was actually rotted, I kid you not. Another time I received almond extract instead of vanilla extract. Bunch of inexperienced kids who obviously don’t give a feck. Then to add insult to injury, instacart gives me credit to my account rather than a refund to my credit card. Who the feck says I’ll use your pos shopping service again?  Maybe next time I’ll ask for flour and get a pretty bouquet of roses."
Cancellation;Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fc3da515e693f08f00e0684,Ashley,1 star: Bad,"Constant issues with orders, item quality, missing items, missing refunds - STAY AWAY!!","Instacart has had to partially refund me for literally every single order I have ever placed. A carton of entirely broken eggs, moldy fruit, items marked as found (that I was charged for) but never received, incorrect items, and I have even had items in my delivery I never asked or paid for. I had 4 separate issues with my most recent order and was due for a refund for almost $30. Instead I only got $18 in credits and Instacart has now turned off their phone support line (REALLY????) so I can't even call for help. Now that I know Wegmans delivers, I'll NEVER use Instacart again!! They have also been caught ripping off their employees by not allocating their tips to them in the past. What a garbage company run by trash. STAY AWAY!!"
Shopper Issues;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fbe99625e693f08f00a4158,Jennifer OBrien,1 star: Bad,I placed my order at 6 am,"I placed my order at 6 am. I still have not received it. They just keep changing the time with a message about holiday and covid. I understand that, which is why I placed an order so early. I should have been one of the first to get shopped for. I will not use again."
Cancellation;Delivery Issues;Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fbd52085e693f08f00911a3,Mo,1 star: Bad,I ordered $120 worth of groceries,"I ordered $120 worth of groceries, instacrat charged my card $140 they kept changing my delivery time so I canceled my order they notified me I’ll receive my refund in 5-15 business days. I kept calling they kept putting it off because it wasn’t 15 days. I then emailed a copy they asked for- for proof of charge and they didn’t honor it and said they didn’t see my order at all. This was my first and last time ordering from them. I will be taking legal action but PLEASE do not order from instacart. They will rip you off! I’m going to call everyday for my money. They’re  worst company ever!!!"
Shopper Issues;Pricing;Theft;,https://ca.trustpilot.com/reviews/5fbbfa555e693f0b10feda16,Mary Lamare,1 star: Bad,So Instacart charged us $4.72 for 8…,"So Instacart charged us $4.72 for 8 bananas at Aldi.  The bag the bananas came in said that they had cost $1.68, which is pretty much the normal price.  Just saying, do you want to pay quadruple for your groceries?  The shopped does not provide a receipt, so you need to carefully check what arrives against your online receipt.  More than once we have been charged for stuff that was not delivered."
Pricing;Shopper Issues;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fbac4785e693f0b10fe001b,Consumer,1 star: Bad,Some instacart shoppers steal,Some instacart shoppers steal. Bring the wrong things. And you can't complain or get your money back. I'm giving away $60 worth of groceries I will never eat. And I ordered the same things the next day and they were all there. What a Rip off Instacart is!
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fbab2535e693f08f007002a,DC,1 star: Bad,I would leave negative stars if possible,I wouldn’t even leave one star. The “shopper” stole over $200 worth of groceries. I placed the order and it showed delivery at 7:30 am- no groceries were delivered. I contacted customer service and was transferred to 4 different people. There was no photos of the delivery at my door - no kidding they never arrived. So after over 2 hours of run around I am getting a refund in 7-10 business days. Seriously? Your shopper stole my food and now I don’t get my money back for two weeks. DO NOT USE THIS SERVICE!!!!!!
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fb9afba5e693f08f0067c30,Millie Durfee,1 star: Bad,RUDEST SHOPPER EVER,"I have worked with instacart 4 times now with smiths food and drug the past three have been okay the first time was exceptional. I was working with MARLA and the alerts that she was here didn’t signal my phone and this led to her driving off with almost 200$ worth of groceries and then me calling her saying hey where are you I’m here to let you in and she was extremely rude and snappy about us not being there and then her having to drive back to us I was externally kind and felt bad about the situation but seriously the customer service of this women’s was extremely disrespectful to the point I felt she wasn’t going to deliver anything and just steal it all. To top it all of there is know way for me to leave a review, complaint, or anything about this behavior except for in here. I’m going to regret ever working with this service again."
Shopper Issues;Pricing;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb94c0e5e693f08f0064591,Rebecca Slater,1 star: Bad,If I could give them ZERO,"If I could give them ZERO, I would. I’ve ordered from instacart a total of 3 times. They have literally messed up EACH TIME. I’m not sure why companies continue to use them as a grocer delivery system, because they are the worst. Amazon is way better. Instacart will charge you more for each cs item, authorize more for the whole order “to accommodate changes to the order for replacements, ignore your request not to have any replacements, and on top of that their employees will steal your groceries!!!!!!! If any of you instacart users read this - GO TO AMAZON PRIME!!! It’s worth the 12.99 a month to use Amazon Fresh. They get your order right and they don’t charge or authorize more than what you’re buying. This company Instacart is criminal and should be shut the f*** down!!!!"
Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fb872ba5e693f0b10fcb30e,Trisha,1 star: Bad,What a disappointment.,"I placed an order for pickup. When I got the email saying my order was ready I clicked on the app, and my order didn't show up. It also didn't show up on the store app. I was unable to notify them I was heading to the store because the order didn't show up anywhere except on the email. The person who brought the order out to my car didn't tell me they were out of one of the items I ordered, and they only gave me half of what I ordered on another item. When I clicked on the email with the receipt to give a review, it didn't take me anywhere because no orders are showing up on the app. The only reason I used it was because the first order was free and I got a discount. I won't be using it again. They're as bad as Walmart pickup, which is pretty darn sad. I was extremely disappointed. Uunfortunately, they are the only options in town, so I will have to start ordering things online and hoping they arrive, and then going to the store myself to get perishables or things I can't order online. What a waste, and a perfect example of poor communication. They couldn't even notify me by email they didn't fill my entire order."
Customer Service;Shopper Issues;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb7d2065e693f08f0051476,Jenna Salinas,1 star: Bad,Security & Support issues,"I used this app for awhile but suddenly had issues with them accepting any of my payment options. Their Trust and Security Team sent an email asking me to share photos of my card and ID (blacking out any detailed info, they just wanted to see that the names matched).It’s almost two months later and I’ve yet to receive a response. On top of that, their security has been hacked! Not to mention that their own shoppers were also caught using a third party to hack the shopping request to get the most “worthy” payout. Stay away from this app! I’ve switched to Shipt and have had no issues so far. In fact, Shipt has been great about sending money back to missing items and bad produce."
Shopper Issues;Theft;Cancellation;,https://ca.trustpilot.com/reviews/5fb7c8df5e693f08f0050951,Britta Baumann Franklin,1 star: Bad,Order never received,Order never received. I contacted costumer service no answer no resolution. Horrible will not use again
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fb71ac55e693f08f004919f,Pamela Piatt,1 star: Bad,I was charged for items not received,"I was charged for items not received. When I called to complain, I reached some 3rd world country. They insisted I had been refunded an my bank must be defrauding me. My bank said no, Instacart did not refund any money. I called them back and asked for a supervisor. He said his name was Prince like the rock star. He was no rock star, believe me. He then said I didn't wait long enough for a refund. It has been 3 weeks. They have no intention of refunding my money. I made a complaint to Publix and hope they drop this scam company."
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fb6c0b55e693f08f00457a2,Ann Novick,1 star: Bad,DO NOT USE THIS SERVICE...THEY CHARGE YOUR CREDIT CARD FOR MORE THEN THE AMOUNT OF THE PURCHASE.,This is a terrible service as they do not screen their employees.  They charged me $123 as this was the amount of the items placed in my cart on their website.  When their employee grocery shopped I receive only 3 of the items I actually wanted.  Usually they text asking to do a replacement but no text. So this is my result of using this crappy service.My credit card was charged $123. I received a receipt for the purchased items of $82.They decided to refund me $64.
Cancellation;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb5b99b5e693f0accecc7ec,KR,1 star: Bad,I placed on order for BJ's wholesale on…,"I placed on order for BJ's wholesale on 9/20/20. The bill was $187.00. The food was never delivered and I contacted BJ's who directed me to call instacart since they received my payment. I contacted instacart who confirmed that they received my payment and would refund in 7-10 days. After two weeks of no refund, I contacted them again and had the same run around. This is the fourth time contacting them and they confirm each time that my refund is on the way. They are stealing people's money. When I place an online order and I see that instacart is delivering for them, I delete my order. I will NEVER EVER do business with any online companies that use instacart!They only choice they are leaving the public is filing individual lawsuits. Not a class action, but they need to be continually brought to small claims court over and over!!!! I will NOT stop fighting them until I get my money back!"
Delivery Issues;Shopper Issues;Cancellation;Theft;,https://ca.trustpilot.com/reviews/5fb3c7235e693f0acceb090d,Karen M. Cail,1 star: Bad,The last two times I have tried to use…,"The last two times I have tried to use insta cart I ended up canceling the order because after I went through the time of entering the order and selecting a window of delivery, I later received a text informing me I wouldn’t receive the order until possibly a day later than anticipated. There should be a way to select from a REALISTIC window of delivery BEFORE  wasting time putting an order in that you end up canceling. This order I put in on Monday evening and selected the available option of Tuesday 10-12 delivery window. I received a text at 3:38 am, waking me up in the middle of the night, telling me I would receive my order sometime before 11 am on Wednesday. That won’t work so again, my time was wasted entering an order that I will have to cancel. The reason I order is because of a busy schedule. So if you can’t deliver when you say you are, you are WASTING my TIME!!"
Delivery Issues;Shopper Issues;Pricing;Theft;,https://ca.trustpilot.com/reviews/5fb2cf215e693f0a8428db35,Jessica Stowers Mabie,1 star: Bad,I requested my food to be delivered by…,"I requested my food to be delivered by 11:30 which was confirmed when I submitted the order, then I received a note that it would be late 12:15, it is now 1:10 and still no groceries, yet, all of the food showed purchased before 11:30? So all of my frozen and refrigerated items have been sitting where?Now after hearing that my order will be here in an hour, I just got a message that my order was canceled!Guess I should have waited on posting a review. I can't believe this!"
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fb1ebcb5e693f0acce98e9f,Flawed Beauty,1 star: Bad,Consequences for stealing groceries?,"I was pleased with the app at first because I intentionally got it for my parents for easy use. Driver claimed the card was declined 4x then said to call the store. Store didn’t pick up and I got notified the groceries was delivered. He STOLE the groceries and wouldn’t answer the phone when customer service called.I doubt it’s consequences for that or else he wouldn’t of did it for some little items, unless he was so hungry. I was refunded but hopefully they revoke his rights to deliver.Let’s just say the driver is lucky my dad is a retired cop ...."
Shopper Issues;Pricing;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb1db995e693f0a8427fdd8,Sylvia Nierling,1 star: Bad,This may be a futile effort since the…,"This may be a futile effort since the company clearly has not responded to the endless complaints, but I have nothing to lose.I was given a year membership as a gift-it was thoughtful and very much appreciated.  In using it about 6 times, I had good experiences until this past weekend.  I ordered a 45 oz tub of Smart Balance Butter and was charged $6.99.  I received a 15 oz tub instead-so was overcharged $3.00.  I reported the problem 5 TIMES over the course of 2 days.  I even went to the store and got a detailed receipt that showed the store received the correct amount of money for the smaller item-but my credit card was charged incorrectly.  There is no way to get in direct contact with them-the store manager told me of the ""ins and outs"" of how they have to deal with them and he didn't have anything positive to say.  I brought the smaller tub of butter and asked if I could exchange it right there but because of the rules with Instacart, he wouldn't let me.  I had my emailed receipt to prove I had been charged for the larger one, but to no avail.So, the only thing I would suggest is doing a full inventory with the shopper when they deliver-and if there is a mistake, you can try and work with that individual, hoping they will do the right thing.  The $3.00 isn't the issue-it's the fact the company hasn't responded or even acknowledged my issue after submitting 5 complaints."
Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb19bd25e693f0acce97821,MFK,1 star: Bad,Wrong size & inferior quality product delivered,"I ordered three (3) 10"" Apple Pies at a well-known grocery store using Instacart.  Instacart charged me $5.49 each plus tax, $2 service fee and $2 tip. What was delivered were three (3) 8"" Dutch Apple Pies which were marked down by the store to $1.49 each because of the ""use by"" date. The store price for the 10"" Apple Pie is $3.49 each. Instacart claims that I gave them the right to make substitutions with a similar product.  In this case the product I received was of a wrong size as well as of a much inferior quality to what I had ordered. Instacart did not offer a full refund but only a partial one."
Shopper Issues;Pricing;Theft;Cancellation;,https://ca.trustpilot.com/reviews/5fb185325e693f0acce96b14,TealRiver Bonnie Weaver,1 star: Bad,Ordering and receiving groceries is no…,"Ordering and receiving groceries is no problem. The problem is if you leave your card information on the site, they will take it upon themselves to subscribe you for a 99 dollar subscription when you have declined to subscribe already. Make sure when you order from them you immediately delete your information afterwards so others whom may know your telephone number or the company itself cant spend money you dont have!!!"
Delivery Issues;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fb01bbc5e693f0a84272576,O wow,1 star: Bad,Soooo,"Soooo, let me tell a little story that I experienced with THIS company. I FIRST tried a few months ago (just because) well the delivery person failed to follow my instructions (call me before you leave the store so I will know you are on the way). So picture opening the door with a puddle of white cream in a bag because within my order was ""ice"" cream and some other ""frozen"" foods...so of course I called they was apologetic and offered money back with free delivery (haven't seen it yet). So (foolish me) try them again a mistake...place another order received some replacement items (😳 not following instructions) ..called apologetic free delivery I promise on your next order. THIRD try well guess what NO free anything...I am done. People do not trust customer service 😒. Have a blessed day."
Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fac70655e693f0a8424968e,Cathy H,1 star: Bad,Discontinuing this service,"Discontinuing this service. I really liked instacart in the beginning and even told my friends about it. Unfortunately it seems to cost a lot more for the service and isn't exactly quick or easy to use anymore. I have spent time selecting items and then waiting sometime more then 2 hours to get my order. Twice I didn't even receive my groceries. I had to make more time to find how to report this and more time talking to a person and more time waiting for another shopper and person to deliver it. I don't like people questioning me as if I may of done something wrong. They did offer a full refund, but I needed my items and had just finished chemo. What should have been convenient day turned into a long and trying day. So I am done with this service."
Cancellation;Delivery Issues;Shopper Issues;Customer Service;Theft;,https://ca.trustpilot.com/reviews/5fac41725e693f0a84247c53,Consumer,1 star: Bad,NEVER AGAIN,We made an order around noon on Tuesday and were told it would be here between 7pm and 8 PM. That in itself was sad. Then they texted back saying by 10 PM then around 9:30pm saying by 11 pm. So I stayed up late. It didn't show up until 11:30 am the next day. This is not ok. I called them and they told me next time if it happens again call them and cancel the order for money back. Well that would mean I would have to order and wait then cancel after all that trouble and go and get it myself. SO WHAT IS THE POINT. Never again. I recommend anyone or anyway else at this point. My opinion of this company is they are incompetent and at this point useless.
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fab1a295e693f0acce53142,Ray,1 star: Bad,"Costco instant cart, no mask delivery did not leave at door.","Used this service today for a Costco order. Very disappointed when I received paper towels instead of bathroom tissue. Rest of my order was fine. Delivery is where it fell extremely short and is the reason I likely will not use the service again. The shopper wanted me to help take each item from his car, which wouldn't be so bad if he wore a mask, but he did not wear one for the duration of the delivery. I had asked for delivery to be left at the door."
